code	name	field of ed
158/23	Control aeroplane solely by reference to full instrument panel (CPL)	
158/24	Manage passengers (CPL)	
158/25	Navigate aeroplane (CPL)	
158/26	Control aeroplane solely by reference to limited instrument panel (CPL)	
158/27	Recover from spin (CPL)	
2	Section 2  ANALYSE AND DESIGN  Units of Competency	
20	Implement effective communication techniques	120505
20301	Provide information and advice regarding the products/services of the homoeopathic clinic	
20302	Obtain initial information	
20303	Take the case	
20304	Assess the case	
20305	select the homoeopathic treatment	
20306	Select the complementary treatment and/or make referrals	
20307	Discuss the treatment	
20308	Dispense the medication from a prescription/order	
20309	Manage the ordering and dispensing of the medication	
20310	Review the treatment	
20311	Obtain vital signs	
20312	Conduct screening physical examination	
20313	Make a screening assessment and refer for further examination	
20314	Conduct extended physical examination and make a diagnosis	
20315	Provide first aid	
20316	Provide homoeopathic treatment with first aid	
20317	Deliver specialised emergency care	
20318	Provide basic counselling	
20319	Use medical equipment	
20320	Provide and deliver antenatal supportive care	
20321	Provide and deliver postnatal supportive care	
20322	Make paediatric assessment	
20323	Deliver homoeopathic palliative care	
20324	Make geriatric assessment	
20325	Collect and test specimens	
20326	Evaluate a business opportunity	
20327	Complete a business plan	
20328	Address legal and administrative requirements	
20329	Manage business operations	
20330	Manage self	
20331	Manage self and staff	
20332	Maintain daily financial record for accounting purposes	
20333	Respond to the changing environment and implement strategies to achieve clinic goals	
20334	Follow OH&S policies and procedures in the workplace	
20335	Apply and monitor clinic OH&S and ensure that all members of the workgroup are fully informed	
20336	Train small groups	
20337	Plan assessment	
20338	Conduct assessment	
20339	Review assessment	
20340	Plan and promote a training program	
20341	Review training	
20342	Develop assessment tools	
20343	Design and establish the assessment system	
20344	Manage the training and assessment system	
20345	Plan and establish office administration systems and procedures	
20346	Maintain information records system to ensure integrity	
20347	Receive and pass on written information to facilitate communication flow	
20348	Select, operate and maintain a range of office equipment to complete a range of tasks	
20349	Plan meetings to enable the stated objectives of the meetings to be met	
20350	Manage meetings to achieve identified team/clinic goals	
20351	Produce reports as required for cash flow forecasts and budgetary purposes	
20352	Manage payroll records for employee salaries and statutory record keeping purposes	
20353	Monitor and control disbursements within a given budget in a homoeopathic clinic	
20354	Manage and control stock supply	
20355	Initiate, research and prepare specific data/information to facilitate communication flow	
20356	Undertake research for specific purposes	
206/01	Take instructions in relation to a transaction	080503
206/04	Negotiate with others to achieve tasks and goals	120505
206/05	Prepare and execute documents	080503
206/09	Finalise transaction	080503
207/019	Procure goods and services (30)	
211/02	Provide Accident and Emergency Care	
211/03	Provide General Health Care	
211/05	Use Medical Equipment	
211/10	Respond to medical emergencies	
211/11	Plan for medical emergencies	
211/13	Provide counselling	
2151	Determine Client Requirements	
21510	Provide field support services	
21511	Select, operate and maintain equipment and supplies	
21512	Transfer personnel and loads	
21513	Design spatial data storage	
21514	Integrate Spatial Data Sets	
21515	Maintain spatial data	
21516	Store and retrieve spatial data	
21518	Produce project deliverables	
21519	Collate and interpret data	
2152	Design a Project Plan	
21520	Design project deliverables	
21521	Finalise and present project deliverables to the client	
21522	Control and Monitor the spatial components of the project	
21525	Undertake research and development	
2153	Implement a project plan	
2154	Determine spatial data requirements to meet the deliverables	
2159	Develop and maintain contractual relationships	
24	Develop and implement work unit plans	080399
29	Develop, implement and promote effective communication	120505
3	Section 3 BUILD      Units of Competency	
31	Co-ordinate a work group	080399
32	Co-ordinate resource allocation and usage	080399
33	Coordinate the implementation of change	080307
36	Manage the delivery of quality client service	080501
37	Represent and promote the organisation	080507
39	Implement training development and support systems	070199
4	Section 4 DOCUMENTATION          Units of Competency	
40	Provide and review appropriate training	080303
93	ICAB5238A Build a highly secure firewall	
ACMACR401A	Comply with animal control and regulation requirements	050105
ACMACR402A	Assess and impound animals	050105
ACMACR403A	Identify and respond to animal behaviour	010915
ACMACR404A	Manage conflict situations in an animal control and regulation environment	050105
ACMACR405A	Euthanase sick, injured or unwanted pound animals	050105
ACMACR406A	Carry out pound procedures	050105
ACMACR407A	Conduct community awareness programs	090599
ACMACR408A	Coordinate seizure of animals	050105
ACMACR409A	Prepare and present animal control and regulation case	091103
ACMATE301A	Work within an animal technology facility	050105
ACMATE302A	Carry out institution containment and exclusion procedures	061301
ACMATE303A	Prepare for and monitor anaesthesia in animals	061103
ACMATE304A	Conduct non-surgical procedures on animals	050105
ACMATE305A	Conduct euthanasia of research animals	050101
ACMATE501A	Manage compliance in animal technology	050105
ACMATE502A	Manage and maintain the health of research animals	050105
ACMATE503A	Carry out post-mortem examination of a research animal	060113
ACMATE504A	Administer anaesthesia and perform surgery on animals for scientific purposes	061103
ACMATE505A	Carry out advanced breeding procedures	050105
ACMATE506A	Assist to collect and transfer embryos of mice	050105
ACMATE507A	Manage the parturition of transgenic mice or rats	050105
ACMCAN301A	Work within a captive animal facility	120505
ACMCAN302A	Prepare and present information to the public	100707
ACMCAN303A	Support collection management	050105
ACMCAN304A	Prepare and maintain animal housing	050105
ACMCAN305A	Assist with capturing, restraining and moving animals	050105
ACMCAN306A	Monitor animal reproduction	050105
ACMCAN307A	Rehabilitate native wildlife	050105
ACMCAN308A	Release native animals to natural environment	050105
ACMCAN309A	Develop institutional husbandry guidelines	050105
ACMCAN310A	Assist with exhibit design and renovation planning	040301
ACMCAN311A	Care for young animals	050105
ACMCAN401A	Implement collection management	050105
ACMCAN402A	Manage enclosures and exhibits	080315
ACMCAN403A	Develop animal diets	050105
ACMCAN404A	Develop, monitor and review behavioural management strategies	010915
ACMCAN405A	Design and evaluate interpretive and learning programs	070199
ACMCAN406A	Assist in establishing and maintaining a plantation	050301
ACMCAN501A	Contribute to enclosure and exhibit design or renovation projects	040301
ACMCAN502A	Develop and monitor collection management	080315
ACMCAS301A	Work effectively in the companion animal industry	120505
ACMCAS302A	Provide advice on companion animal selection and general care	050105
ACMCAS303A	Provide advice on selection and care of aquatic animals	050105
ACMCAS304A	Capture, handle and transport companion animals	050105
ACMCAS305A	Maintain aquascapes and aquatic animals	050105
ACMCAS306A	Provide grooming services for companion animal comfort	050105
ACMCAS307A	Provide companion animal hydro-bathing services	050105
ACMCAS401A	Manage compliance in the companion animal industry	050105
ACMCAS402A	Manage and maintain aviaries and bird rooms	050105
ACMCAS403A	Design, construct and maintain aquascapes	050105
ACMCAS404A	Develop enrichment strategies for companion animals	050105
ACMCAS405A	Purchase companion animal livestock	050105
ACMCAS406A	Manage companion animal breeding	050105
ACMCAS407A	Provide professional companion animal grooming services	050105
ACMCAS408A	Manage the operation of a mobile hydro-bathing facility	050105
ACMCAS409A	Provide training advice to companion animal owners	050105
ACMCAS410A	Conduct companion animal training classes	050105
ACMEQD401A	Work within an equine dental service provision framework	080301
ACMEQD402A	Determine equine oral function efficiency	061101
ACMEQD403A	Identify potential health impacts of equine oral conditions	061101
ACMEQD404A	Conduct equine oral inspection and assessment and plan equine dental treatment	061101
ACMEQD405A	Perform routine dental correction and oral care using manual instruments	061101
ACMEQU401A	Relate equine anatomical and physiological features to equine health care requirements	061101
ACMEQU402A	Determine nutritional needs in provision of horse health care	061101
ACMEQU403A	Relate musculoskeletal structure to horse movement	061101
ACMEQU404A	Evaluate fit of saddlery and equipment	050105
ACMEQU405A	Maintain and monitor horse health and welfare	050105
ACMFAR301A	Handle horses safely in the provision of farriery services	050105
ACMFAR302A	Work effectively as a farrier in the equine industries	050105
ACMFAR303A	Perform routine day-to-day farriery activities	030799
ACMFAR304A	Respond to emergencies and apply essential first aid in the equine industries	030799
ACMFAR305A	Perform welding tasks using a forge	030799
ACMFAR306A	Maintain, repair and manufacture hand tools used in farriery	030799
ACMFAR307A	Make standard shoes for a range of horses	030799
ACMFAR308A	Determine foot care and shoeing plans for horses	030799
ACMFAR309A	Fit shoes for normal healthy horses	030799
ACMFAR310A	Fit shoes to alleviate moderate faults and defects in horses	030799
ACMFAR311A	Fit shoes to alleviate severe faults and defects in horses	030799
ACMFAR312A	Accommodate special needs of particular horses through farriery techniques	030799
ACMGAS101A	Investigate job opportunities in animal care and related industries	120505
ACMGAS102A	Catch and handle a range of quiet animals	050105
ACMGAS103A	Assist in the care of animals	050105
ACMGAS201A	Work in the animal care industry	120505
ACMGAS202A	Participate in workplace communications	120505
ACMGAS203A	Complete animal care hygiene routines	050105
ACMGAS204A	Feed and water animals	050105
ACMGAS205A	Assist in health care of animals	050105
ACMGAS206A	Provide basic first aid for animals	061103
ACMGAS207A	Provide reception services for an animal care facility	050105
ACMGAS208A	Source information for animal care needs	050105
ACMGAS209A	Provide information on companion animals, products and services	080501
ACMGAS210A	Prepare for and conduct a tour or presentation	061103
ACMGAS301A	Maintain and monitor animal health and wellbeing	050105
ACMGAS302A	Provide enrichment for animals	050105
ACMGAS303A	Plan for and provide nutritional requirements for animals	050105
ACMGAS304A	Carry out simple breeding procedures	050105
ACMGAS305A	Rescue animals and apply basic first aid	050105
ACMGAS306A	Assist with conditioning animals	050105
ACMGRM301A	Perform dog grooms on different coat types	061101
ACMGRM302A	Perform a cross breed clip	050105
ACMGRM401A	Carry out breed standard styling on Gun dog, Working dog and Hound dog breed groups	050105
ACMGRM402A	Carry out breed standard styling on Non-sporting and Toy dog breed groups	050105
ACMGRM403A	Carry out breed standard styling on Terrier and Utility dog groups	050105
ACMGRM404A	Provide creative styling for dogs	050105
ACMGRM405A	Carry out styling on cats of different breed and coat type	050105
ACMINF301A	Comply with infection control policies and procedures in animal work	050105
ACMMIC401A	Implant microchip in cats and dogs	050105
ACMOHS201A	Participate in occupational health and safety processes	061301
ACMOHS301A	Contribute to occupational health and safety processes	061301
ACMOHS401A	Maintain occupational health and safety processes	061301
ACMOHS501A	Manage occupational health and safety processes	061301
ACMSPE301A	Provide basic care of amphibians	050105
ACMSPE302A	Provide basic care of birds	050105
ACMSPE303A	Provide basic care of common native mammals	050105
ACMSPE304A	Provide basic care of dogs	050105
ACMSPE305A	Provide basic care of domestic cats	050105
ACMSPE306A	Provide basic care of marine fish	050105
ACMSPE307A	Provide basic care of freshwater fish	050105
ACMSPE308A	Provide basic care of marine aquatic invertebrates	050105
ACMSPE309A	Provide basic care of terrestrial and freshwater invertebrates	050105
ACMSPE310A	Provide basic care of mammals	050105
ACMSPE311A	Provide basic care of non-venomous reptiles	050105
ACMSPE312A	Provide basic care of rodents and rabbits	050105
ACMSUS201A	Participate in environmentally sustainable work practices	059999
ACMSUS301A	Implement and monitor environmentally sustainable work practices	059999
ACMVET201A	Carry out veterinary nursing reception duties	080901
ACMVET202A	Carry out daily clinic routines	061103
ACMVET203A	Assist with surgery preparation	061103
ACMVET401A	Coordinate patient admission and discharge	061103
ACMVET402A	Apply imaging routines	061501
ACMVET403A	Perform clinic pathology procedures	050105
ACMVET404A	Perform clinic office procedures	061103
ACMVET405A	Carry out surgical nursing routines	061103
ACMVET406A	Nurse animals	061103
ACMVET407A	Carry out medical nursing routines	061103
ACMVET408A	Coordinate and perform theatre routines	061103
ACMVET409A	Provide specific animal care advice	061103
ACMVET410A	Carry out veterinary dental nursing procedures	061103
ACMVET411A	Prepare, deliver and review animal care education programs	061103
ACMVET412A	Coordinate clinic promotional activities	061103
ACMVET413A	Develop and implement specific clinic policies	080301
ACMVET414A	Nurse foals	061103
ACMVET415A	Provide intensive foal care and nursing	061103
ACMVET501A	Manage nursing requirements for specialised surgical procedures	080301
ACMVET502A	Carry out post-operative nursing routines	061103
ACMVET503A	Produce veterinary dental oral cavity radiographs	061501
ACMVET504A	Provide veterinary dental nursing support for advanced veterinary dental surgery	061103
ACMVET505A	Prepare for emergency response	061103
ACMVET506A	Perform emergency procedures to sustain life	061103
ACMVET507A	Provide nursing support for critical care surgery	061103
ACMVET508A	Support veterinary practice communication and professional development	120505
ACMVET509A	Manage veterinary nursing procedures	061103
ACMVET510A	Apply veterinary nursing pathophysiology	061103
ACMVET511A	Apply principles of animal behaviour	010915
ACMWHS201A	Participate in workplace health and safety processes	061301
ACMWHS301A	Contribute to workplace health and safety processes	061301
ACMWHS401A	Maintain workplace health and safety processes	061301
ACMWHS501A	Manage workplace health and safety processes	061301
AGFCMN101A	Adapt to work requirements in agri-food industry	120599
AGFCMN102A	Apply effective work practices	120599
AGFCMN103A	Demonstrate care and apply safe practices at work	061301
AGFCMN201A	Contribute to animal care through work activities	050105
AGFCMN202A	Contribute to work activities to produce food	110111
AHCAGB301A	Keep records for a primary production business	091301
AHCAGB401A	Implement and monitor a property improvement plan	080321
AHCAGB402A	Analyse and interpret production data	050101
AHCAGB501A	Develop climate risk management strategies	080321
AHCAGB502A	Plan and manage infrastructure requirements	080321
AHCAGB503A	Plan and monitor production processes	080321
AHCAGB504A	Plan production for the whole land/farm based business	080321
AHCAGB505A	Develop a whole farm plan	080321
AHCAGB601A	Develop export markets for produce	080321
AHCAGB602A	Manage estate planning	080321
AHCAGB603A	Manage the production system	080321
AHCAGB604A	Analyse business performance	080301
AHCAGB605A	Manage business capital	080301
AHCAGB606A	Manage price risk through trading strategy	080301
AHCAIS201A	Assist with artificial insemination procedures	050105
AHCAIS301A	Collect semen	050105
AHCAIS302A	Process and store semen	050105
AHCAIS303A	Artificially inseminate livestock	050105
AHCAIS401A	Supervise artificial breeding and/or embryo transfer programs	050105
AHCARB201A	Apply a range of treatments to trees	050301
AHCARB202A	Fell small trees	050301
AHCARB203A	Perform above ground pruning	050301
AHCARB204A	Undertake standard climbing techniques	050301
AHCARB205A	Operate and maintain chainsaws	030717
AHCARB206A	Undertake stump removal	030717
AHCARB207A	Perform ground based rigging	040329
AHCARB301A	Implement a tree maintenance program	050301
AHCARB302A	Conduct tree inspections	050301
AHCARB303A	Implement a tree pruning program	050301
AHCARB304A	Fell trees with advanced techniques	050301
AHCARB305A	Remove trees in confined spaces	050301
AHCARB306A	Undertake aerial rescue	061301
AHCARB307A	Undertake complex tree climbing	050301
AHCARB308A	Install cable and bracing	050301
AHCARB309A	Implement a tree protection program	050301
AHCARB310A	Perform aerial rigging	040329
AHCARB501A	Assess trees	050301
AHCARB502A	Identify, select and specify trees	050301
AHCARB503A	Diagnose tree diseases	050301
AHCARB504A	Develop a tree protection program	050301
AHCARB505A	Document and audit tree work	050301
AHCASW301A	Protect places of Aboriginal cultural significance	090311
AHCASW302A	Relate Aboriginal culture to sites work	090311
AHCASW303A	Identify and record Aboriginal-sites, objects and cultural landscapes	090311
AHCASW304A	Identify Indigenous culturally significant plants	090311
AHCASW305A	Work with Aboriginal ceremonial secret sacred materials	090311
AHCASW306A	Use technology in Aboriginal-sites work	090311
AHCASW307A	Map Aboriginal cultural landscapes	090311
AHCASW308A	Apply cultural significance to Aboriginal-sites and landscapes	090311
AHCASW309A	Interpret Aboriginal cultural landscape	090311
AHCASW310A	Move and store Aboriginal cultural material	090311
AHCASW311A	Apply relevant legislation in Aboriginal-sites work	090311
AHCASW312A	Maintain an Aboriginal cultural site	090311
AHCASW501A	Survey and report on Aboriginal cultural sites	090311
AHCBAC101A	Support agricultural crop work	050101
AHCBAC201A	Assist agricultural crop establishment	050101
AHCBAC202A	Assist agricultural crop maintenance	050101
AHCBAC203A	Assist agricultural crop harvesting	050101
AHCBAC204A	Prepare grain storages	050101
AHCBAC205A	Operate cane haulage vehicle	030717
AHCBAC301A	Conserve forage	050901
AHCBAC302A	Establish pastures and crops for livestock production	050101
AHCBAC303A	Prepare to receive grains/seeds	050301
AHCBAC304A	Test grains/seeds on receival	050301
AHCBAC305A	Undertake preparation of land for agricultural crop production	050101
AHCBAC306A	Establish agricultural crops	050101
AHCBAC307A	Maintain agricultural crops	050101
AHCBAC308A	Undertake agricultural crop harvesting activities	050101
AHCBAC309A	Sample and test grain and related commodities	080317
AHCBAC401A	Manage pastures for livestock production	050101
AHCBAC402A	Plan a pasture establishment program	050101
AHCBAC403A	Supervise agricultural crop establishment	050101
AHCBAC404A	Plan and implement agricultural crop maintenance	050101
AHCBAC405A	Supervise agricultural crop harvesting	050101
AHCBAC406A	Maintain grain quality in storage	050101
AHCBAC407A	Save, prepare and store agricultural seed	089901
AHCBAC501A	Manage agricultural crop production	050101
AHCBAC502A	Manage forage conservation	050901
AHCBAC503A	Manage integrated crop and pasture production	080321
AHCBAC504A	Plan and manage a stored grain program	089901
AHCBAC505A	Plan and manage long-term weed, pest and/or disease control in crops	059901
AHCBAC506A	Manage the harvest of crops	050101
AHCBAC507A	Develop production plans for crops	050101
AHCBEK201A	Support beekeeping work	050105
AHCBEK202A	Use a bee smoker	050105
AHCBEK203A	Open and reassemble a beehive	050105
AHCBEK204A	Construct and repair beehives	050105
AHCBEK301A	Manage honey bee swarms	050105
AHCBEK302A	Manipulate honey bee brood	050105
AHCBEK303A	Re-queen a honey bee colony	050105
AHCBEK304A	Remove a honey crop from a hive	050105
AHCBEK305A	Extract honey	050105
AHCBEK306A	Manage pests and disease within a honey bee colony	059901
AHCBEK401A	Collect and store propolis	050105
AHCBEK402A	Perform queen bee artificial insemination	050105
AHCBEK403A	Produce and harvest royal jelly	050105
AHCBEK404A	Provide bee pollination services	050105
AHCBEK405A	Select and establish an apiary site	050101
AHCBEK406A	Trap and store pollen	050105
AHCBEK407A	Rear queen bees	050105
AHCBIO201A	Inspect and clean machinery for plant, animal and soil material	030717
AHCBIO202A	Follow site quarantine procedures	059901
AHCBIO301A	Work effectively in an emergency disease or plant pest response	059901
AHCBIO302A	Identify and report unusual disease or plant pest signs	059901
AHCBIO303A	Carry out emergency disease or plant pest control procedures at infected premises	059901
AHCBIO304A	Carry out movement and security procedures	099905
AHCBIO305A	Monitor and review biosecurity measures	059901
AHCBIO401A	Supervise activities on infected premises	059901
AHCBIO402A	Carry out field surveillance for a specific emergency disease or plant pest	059901
AHCBIO403A	Plan and implement a biosecurity program	059901
AHCBIO501A	Manage active operational emergency disease or plant pest sites	059901
AHCBIO502A	Manage the implementation of an emergency disease or plant pest control program	059901
AHCBIO601A	Plan and oversee an emergency disease or plant pest control program	059901
AHCBUS301A	Use hand held e-business tools	031307
AHCBUS401A	Administer finance, insurance and legal requirements	080321
AHCBUS402A	Cost a project	080315
AHCBUS403A	Support and review business structures and relationships	080321
AHCBUS404A	Operate within a budget framework	080101
AHCBUS405A	Participate in an e-business supply chain	080399
AHCBUS501A	Manage staff	080303
AHCBUS502A	Market products and services	080505
AHCBUS503A	Negotiate and monitor contracts	080321
AHCBUS504A	Prepare estimates, quotes and tenders	080101
AHCBUS505A	Develop a marketing plan	080505
AHCBUS506A	Develop and review a business plan	080301
AHCBUS507A	Monitor and review business performance	080321
AHCBUS508A	Prepare and monitor budgets and financial reports	080101
AHCBUS601A	Manage capital works	080321
AHCBUS602A	Review land management plans and strategies	050901
AHCBUS603A	Develop and review a strategic plan	080301
AHCBUS604A	Design and manage the enterprise quality management system	080317
AHCBUS605A	Manage human resources	080303
AHCBUS606A	Develop a monitoring, evaluation and reporting program	080399
AHCBUS607A	Implement a monitoring, evaluation and reporting program	080399
AHCBUS608A	Manage risk	080301
AHCCCF401A	Prepare project acquittal	080101
AHCCCF402A	Report on project	100705
AHCCCF403A	Obtain and manage sponsorship	080301
AHCCCF404A	Contribute to association governance	080301
AHCCCF405A	Develop community networks	020113
AHCCCF406A	Facilitate ongoing group development	090599
AHCCCF407A	Obtain resources from community and groups	080301
AHCCCF408A	Promote community programs	080505
AHCCCF409A	Participate in assessments of project submissions	080301
AHCCCF410A	Support individuals in resource management change processes	080307
AHCCCF411A	Develop approaches to include cultural and human diversity	090303
AHCCCF412A	Coordinate board/committee elections	080301
AHCCCF413A	Service committees	080301
AHCCCF414A	Coordinate fund-raising activities	080301
AHCCCF415A	Coordinate social events to support group purposes	080301
AHCCCF416A	Present proposed courses of action to meeting	080301
AHCCCF501A	Evaluate project submissions	080315
AHCCCF502A	Facilitate development of group goals and projects	080315
AHCCCF503A	Promote group formation and development	080301
AHCCCF504A	Support group and community changes in resource management	080307
AHCCCF505A	Contribute to regional planning process	080301
AHCCCF506A	Manage the incorporation of a group	080301
AHCCCF601A	Map regional issues and stakeholders	080301
AHCCFI501A	Provide technical advice on the Carbon Farming Initiative	050999
AHCCFI502A	Assess the feasibility of a Carbon Farming Initiative project	050999
AHCCFI503A	Advise on Carbon Farming Initiative project planning and implementation	050999
AHCCFI504A	Monitor and report on a Carbon Farming Initiative project	050999
AHCCFI505A	Aggregate Carbon Farming Initiative projects	050999
AHCCFI506A	Plan a Carbon Farming Initiative livestock project	050999
AHCCFI507A	Plan a Carbon Farming Initiative waste or manure management project	050999
AHCCFI508A	Plan a Carbon Farming Initiative project to sequester carbon in soil or biochar	050999
AHCCFI509A	Plan a Carbon Farming Initiative savannah burning, feral animal or rangelands project	050999
AHCCFI510A	Plan a Carbon Farming Initiative vegetation project	050999
AHCCFI511A	Plan a Carbon Farming Initiative project to avoid emissions from soil or crops	050999
AHCCHM101A	Follow basic chemical safety rules	061301
AHCCHM201A	Apply chemicals under supervision	059901
AHCCHM301A	Conduct fumigation in enclosed spaces	059901
AHCCHM302A	Fumigate soil using chemicals	059901
AHCCHM303A	Prepare and apply chemicals	059901
AHCCHM304A	Transport, handle and store chemicals	089901
AHCCHM305A	Conduct manual fumigation of vertebrate and invertebrate pests	059901
AHCCHM401A	Minimise risks in the use of chemicals	061301
AHCCHM402A	Plan and implement a chemical use program	059901
AHCCHM403A	Prepare safe operating procedures for calibration of equipment	061301
AHCCHM501A	Develop and manage a chemical use strategy	080501
AHCCOM201A	Assess and receive raw materials for composting	050301
AHCCOM202A	Recognise and respond to fire emergencies on a composting site	061301
AHCCOM203A	Recognise raw materials, production processes and products on a composting site	050301
AHCCOM301A	Operate compost processing plant, machinery and equipment	030717
AHCCOM302A	Dispatch materials and composted product	089901
AHCCOM303A	Operate a compost bagging process	030717
AHCCOM401A	Develop a composting recipe	050301
AHCCOM402A	Plan and schedule compost production	050301
AHCCOM501A	Identify and secure raw materials supply for compost production	050301
AHCDER401A	Handle, store and grade deer velvet	050105
AHCDER501A	Comply with deer industry national velvet accreditation requirements	050101
AHCDER502A	Harvest deer velvet	050101
AHCDES501A	Design sustainable landscapes	040105
AHCDES502A	Prepare a landscape project design	040105
AHCDES503A	Assess landscape sites	050301
AHCDES504A	Design for construction of landscape features	040105
AHCDRG201A	Maintain drainage systems	030907
AHCDRG301A	Install drainage systems	030907
AHCDRG302A	Measure drainage system performance	030907
AHCDRG303A	Troubleshoot drainage systems	030907
AHCDRG501A	Design drainage systems	030907
AHCDRY201A	Milk livestock	050105
AHCDRY301A	Coordinate milking operations	050101
AHCDRY302A	Operate a dairy recycling system	039901
AHCDRY401A	Manage milking shed routines	050101
AHCEXP301A	Handle and store explosives	089901
AHCEXP302A	Identify and select explosive products	089901
AHCEXP303A	Prepare and use explosives	030303
AHCFAU201A	Recognise fauna	050901
AHCFAU301A	Respond to wildlife emergencies	050901
AHCFAU501A	Manage fauna populations	050901
AHCFIR201A	Assist with prescribed burning	039905
AHCFIR501A	Manage wildfire hazard reduction programs	039905
AHCHBR101A	Support horse work	050105
AHCHBR201A	Monitor horse health and welfare	050105
AHCHBR202A	Handle young horses	050105
AHCHBR203A	Provide daily care for horses	050105
AHCHBR204A	Assist with mating procedures and parturition of horses	050105
AHCHBR302A	Carry out basic hoof care procedures	050105
AHCHBR303A	Carry out mare mating or artificial insemination procedures	050105
AHCHBR304A	Educate, ride and care for horses and equipment	050105
AHCHBR305A	Handle and care for stallions	050105
AHCHBR306A	Prevent and treat equine injury and disease	050105
AHCHBR307A	Assess suitability of horses for stock work	050105
AHCHBR308A	Maintain horses in a healthy state and safe environment	050105
AHCHBR309A	Determine nutritional requirements for horses	050105
AHCHBR401A	Carry out stud stable management duties	080301
AHCHBR402A	Supervise raising young horses	050105
AHCHYD301A	Implement a maintenance program for hydroponic systems	050301
AHCHYD302A	Install hydroponic systems	050301
AHCHYD501A	Develop a plan for a hydroponic system	050301
AHCILM201A	Maintain cultural places	050901
AHCILM202A	Observe and report plants and/or animals	050901
AHCILM203A	Record information about country	050999
AHCILM301A	Propose appropriate uses of traditional customs	090303
AHCILM302A	Provide appropriate information on cultural knowledge	090303
AHCILM303A	Work in an Indigenous community or organisation	120505
AHCILM304A	Follow cultural protocols	050901
AHCILM305A	Work with an Aboriginal Community or organisation	090311
AHCILM306A	Follow Aboriginal cultural protocols	090311
AHCILM307A	Implement Aboriginal cultural burning practices	090311
AHCILM401A	Protect places of cultural significance	050901
AHCILM402A	Report on place of potential cultural significance	050901
AHCILM403A	Contribute to the proposal for a negotiated outcome for a given area of country	050901
AHCILM404A	Record and document community history	090303
AHCILM405A	Develop work practices to accommodate cultural identity	120505
AHCILM501A	Conduct field research into natural and cultural resources	050901
AHCILM502A	Develop conservation strategies for cultural resources	050901
AHCILM503A	Manage restoration of cultural places	050901
AHCILM504A	Develop strategies for Indigenous land or sea management	050901
AHCILM505A	Map relationship of business enterprise to culture and country	080301
AHCILM506A	Operate within community cultures and goals	090301
AHCILM507A	Plan for successful cultural practice at work	120505
AHCILM508A	Propose a negotiated outcome for a given area of country	050901
AHCILM509A	Plan burning activities for natural and cultural resource management	039905
AHCILM510A	Plan for successful cultural practice at work	090311
AHCILM601A	Manage cultural processes in an Indigenous organisation	080301
AHCINF201A	Carry out basic electric fencing operations	050101
AHCINF202A	Install, maintain and repair fencing	030717
AHCINF203A	Maintain properties and structures	040301
AHCINF204A	Fabricate and repair metal or plastic structures	030717
